business_field,root_collection,source_fields,join_relationship,source_db_type,app_type,validation,fixing,shopware_payload,edge_cases
Brand / Manufacturer,products,manufacturing_brand[] / marketing_brand[],direct from product; de-dupe to Shopware manufacturer/category,array<string>,string reference,non-empty for published product,trim/case-normalize/de-dupe,manufacturer.name or category tree,Multiple marketing brands can point to one stock item.
Part SKU / source,products,"source, id, title",direct,string,string/uuid,source/id required and unique,none,product.productNumber + external id/custom field,Use source/id as idempotency key.
Part name/description,products,"title, description, long_description",direct,string / array<string>,string,"Shopware max lengths, not empty where required",truncate only if approved in contract,"product.name, product.description",Long descriptions sparse.
Stock reference,products,stock,products.stock -> inventory.source,string|null,string|null,"if present, must join inventory.source",route missing join to DQ queue,custom_part_pt_stock_id + stock relation,973K products have empty stock; 11 distinct stock refs missing inventory.
Inventory price,inventory,price,inventory.source joined from products.stock,string decimal,decimal,"parseable, non-negative, configured max",reject invalid; review outliers,product.price,"3,670 parse failures; max observed 380,729.99."
Inventory availability,inventory,availability,inventory.source joined from products.stock,enum string,enum,must map legacy values,explicit enum map,product.active/availability custom field,Observed ava/nla/obs.
Quantity on hand,inventory,quantity_on_hand,inventory.source joined from products.stock,int|null,int|null,non-negative if present,contract fallback for absent,stock quantity/custom field,2.74M inventory rows missing quantity_on_hand.
Product photos,products/assets,products.photos[] -> assets.source,lookup/unwind assets by source,array<string>,array<media>,asset must exist and URL must resolve,skip or DQ by contract,media association,Blocked locally because full assets.bson is missing.
Model/category,products,"type=model, model_name, product_family, marketing_brand",direct + hierarchy inference,mixed sparse fields,category model,"approved, not deleted, hierarchy contract frozen",mock/invisible only by explicit rule,category/custom fields,Model as category is contested in plan.
IPL,assets/products,"asset IPL fields, hotspots, parts",assets/IPL -> products/models many-to-many,object/array,custom entity,"custom plugin installed, dependencies resolved",create invisible mock only if policy permits,ipl custom entity + join tables,Blocked locally because full assets/IPL source is missing.
