batch,agent,can_run_parallel_with,depends_on,primary_goal,deliverables,verification_owner,stop_condition
A,Access/Infra Agent,"Source Snapshot Agent; Target Shopware Agent; Project Evidence Agent",none,Verify service access and quotas,"access_matrix.csv; quota_limits.md; secrets_readiness.md",Lead Orchestrator,Any required service is unknown/unreachable without approved deferral
A,Source Snapshot Agent,"Access/Infra Agent; Target Shopware Agent; Project Evidence Agent",none,Manifest and restore source data,"source_snapshot_manifest.json; restore_proof.md",Source Profile Agent,Required collection missing without approved deferral
A,Target Shopware Agent,"Access/Infra Agent; Source Snapshot Agent; Project Evidence Agent",none,Verify target API/schema/plugin readiness,"shopware_schema_snapshot.json; api_smoke_results.json",Mapping Contract Agent,Target schema cannot express approved mapping
A,Project Evidence Agent,"Access/Infra Agent; Source Snapshot Agent; Target Shopware Agent",none,Collect authoritative plan/design/task evidence,"evidence_index.md; open_decisions.tsv",Lead Orchestrator,Missing decision owner for blocker-level open question
B,Source Profile Agent,"Mapping Contract Agent; Target Schema Contract Agent; Media/IPL Contract Agent",Batch A approved,Measure real source shape and data quality,"source_profile.json; source_join_report.csv; source_quality_issues.sqlite",Independent Verification Agent,Profile not generated from real records
B,Mapping Contract Agent,"Source Profile Agent; Target Schema Contract Agent; Media/IPL Contract Agent",Batch A approved,Freeze field-level migration contract,"mapping_contract.csv; mapping_approval_record.md",Human Domain Owner,Any blocker mapping row unresolved
B,Target Schema Contract Agent,"Source Profile Agent; Mapping Contract Agent; Media/IPL Contract Agent",Batch A approved,Prove target fields/entities are writable,"custom_field_diff.csv; plugin_health_report.md",Independent Verification Agent,Target path from mapping is absent/unwritable
B,Media/IPL Contract Agent,"Source Profile Agent; Mapping Contract Agent; Target Schema Contract Agent",Batch A approved,Resolve media/IPL source-to-target contract,"media_ipl_contract.csv; cdn_resolution_report.csv",Target Shopware Agent,Asset/IPL source incomplete without approved deferral
C,Normalization Harness Agent,"Data Quality Queue Agent; Batch Manifest Agent",Batch B approved,Generate deterministic target payloads,"normalized_payloads/; payload_hash_ledger.sqlite",Independent Verification Agent,Unknown row status or nondeterministic payload hash
C,Data Quality Queue Agent,"Normalization Harness Agent; Batch Manifest Agent",Batch B approved,Classify all non-loadable rows,"quality_issue_counts.csv; quality_issue_samples.csv",Lead Orchestrator,Unclassified failures exist
C,Batch Manifest Agent,"Normalization Harness Agent; Data Quality Queue Agent",Batch B approved,Create deterministic load batches,"batch_manifest.csv; batch_order.md",Loader Agents,Dependency order invalid or batch lacks hash
C,Independent Verification Agent,none,Batch C artifacts complete,Verify dry-run and contracts,"dry_run_reconciliation.json; gate_verdicts.tsv",Lead Orchestrator,Dry-run gate not VERIFIED
D,Manufacturer/Brand Loader Agent,"Category/Model Loader Agent after brand prerequisites only if independent manifests exist",Batch C verified,Load brand/manufacturer scaffold,"brand_load_ledger.sqlite",Reconciliation Agent,Critical API/schema/idempotency failures
D,Category/Model Loader Agent,"Product Loader Agent only after model dependencies resolved",Brand load verified,Load categories/models/model variants,"category_model_load_ledger.sqlite",Reconciliation Agent,Unresolved hierarchy dependency
D,Product Loader Agent,"Inventory Loader Agent can run after products have target IDs",Category/model load verified,Load products/parts,"product_load_ledger.sqlite",Reconciliation Agent,Failure threshold exceeded or duplicate target IDs
D,Inventory Loader Agent,"Media/IPL Loader Agent after product IDs exist",Product load verified,Load stock/price/availability,"inventory_load_ledger.sqlite",Reconciliation Agent,Price/quantity contract violations
D,Media/IPL Loader Agent,none,Assets/IPL contract and product/model IDs verified,Load media/IPL custom entities and associations,"media_load_ledger.sqlite; ipl_load_ledger.sqlite",Reconciliation Agent,Missing asset/plugin/association errors exceed threshold
D,Independent Reconciliation Agent,none,Each loader completes,Verify target reads against source/payload hashes,"dev_reconciliation_report.json",Lead Orchestrator,Any critical mismatch
E,Staging Load Agent,none,Dev reconciliation VERIFIED,Repeat approved load in staging,"staging_load_ledger.sqlite",Staging Verification Agent,Staging diverges from dev expectations
E,Staging Verification Agent,none,Staging load completes,Verify staging target,"staging_reconciliation_report.json",Lead Orchestrator,Staging gate not VERIFIED
E,Prod Load Agent,none,Human cutover approval after staging VERIFIED,Execute prod baseline load,"prod_load_ledger.sqlite",Prod Verification Agent,Critical failure or rollback trigger
E,Prod Verification Agent,none,Prod load completes,Verify prod target and cutover readiness,"prod_reconciliation_report.json; cutover_decision_record.md",Human Migration Lead,Prod gate not VERIFIED
F,Event Contract Agent,"DLQ/Replay Agent; Daily Reconciliation Agent",Mapping/normalization contract approved,Define compact sync event contract,"sync_event_contract.json",Sync Processor Agent,Event lacks idempotency/source key
F,Sync Processor Agent,"DLQ/Replay Agent; Daily Reconciliation Agent",Event contract approved,Implement idempotent ongoing sync,"sync_processor_ledger.sqlite; duplicate_event_test.json",DLQ/Reconciliation Agents,Duplicate/retry test fails
F,DLQ/Replay Agent,"Event Contract Agent; Daily Reconciliation Agent",Event contract approved,Make failed events replayable,"dlq_replay_runbook.md; replay_test.json",Daily Reconciliation Agent,Failed event cannot be replayed by source key
F,Daily Reconciliation Agent,"Event Contract Agent; DLQ/Replay Agent",Source/target access available,Detect missed events and target drift,"daily_reconciliation_report.json",Lead Orchestrator,Drift cannot be explained by issue queue
