batch	role	current_state_summary	target_state_summary	issues_would_hit	severity_max	gates_blocked	dependencies_unmet	verdict	evidence_paths
A	Access/Infra Agent	Starter access/environment matrices and quota_limits.md exist; live Shopware/AWS/DocumentDB/CDN unknown; G0 live access ready=false	All G0 services verified or explicitly deferred with owner; environment_matrix populated; quota_limits from Shopware sync smoke	environment_matrix blank for dev/staging/prod; Shopware OAuth absent; DocumentDB deferred to sample BSON; sync API batch sizing unknown for 4.4M+ products; CDN/S3 media unknown	P0	G0;G3;G5;G6;G7	H-01 H-02 H-03 OD-12 human provisioning	BLOCKED	discoveries/access_matrix.csv;environment_matrix.csv;secrets_readiness.md;quota_limits.md;gate_verdicts.tsv;blockers_master.md
A	Source Snapshot Agent	Manifest and restore_proof for sample zip; products/inventory checksums OK; assets.bson and attributes.bson missing; manifest INCONCLUSIVE	All in-scope collections with per-BSON SHA-256; approved deferrals only; production freeze certified	assets.bson absent (0 media/IPL loadable); attributes.bson absent; sample not live DocumentDB (OD-16); 355939 products with ipl field but no assets join; assets deferral approved=false	P0	G0;G1;G4	H-04 full assets export or approved deferral; live DocumentDB freeze	BLOCKED	client-data/manifests/source_snapshot_manifest.json;restore_proof.md;source_data_blockers.md;local-migration-dry-run-summary.json;dry-run-groups.csv
A	Target Shopware Agent	Zero G3 artifacts; no schema snapshot or API smoke; Shopware credentials absent	shopware_schema_snapshot.json and api_smoke_results.json; IPL plugin smoke; foundation for G3	shopware_schema_snapshot.json missing; api_smoke_results.json missing; OAuth absent; 141758 models blocked pending OD-01; custom field parity unverified (OD-11)	P0	G0;G3;G5;G6;G7	Access/Infra H-01 H-02; Human OD-01 OD-11	BLOCKED	discoveries/gate_verdicts.tsv;batch_a_agent_verdicts.json;target_system_blockers.md;open_decisions.tsv
A	Project Evidence Agent	evidence_index.md and open_decisions.tsv delivered; 15/17 decisions lack owners; next_batch_ready=false	All blocker decisions owned and escalated; Batch A stop conditions cleared	15 open decisions without owner; OD-01 blocks 141K models; OD-12 access open; OD-16 sample vs live; OD-06 publication for 439K deleted and 26K unapproved	P0	G0;G2;G3;G4;G7	Human Domain Owner and Migration Lead assign owners and resolve OD-01 OD-06 OD-11 OD-12 OD-16	BLOCKED	notes/evidence_index.md;open_decisions.tsv;blockers_master.md;batch_a_agent_verdicts.json
B	Source Profile Agent	source_profile.json from sample BSON (5.14M products, 3.63M inventory); G1 PASS on JSON only; join report and quality sqlite missing	Full profile with join report and row-level quality store; production freeze when required	assets.bson missing; attributes.bson missing; single products collection vs Brand-Model-IPL hierarchy; 973287 empty stock; 2735879 missing qty_on_hand; 438979 deleted; 26545 unapproved; MEASURED_SAMPLE_NOT_PRODUCTION_FREEZE	P0	G0;G1	Batch A approved; assets/attributes BSON; OD-16	RISK	discoveries/profiles/source_profile.json;source_data_blockers.md;quality-issue-counts.csv;gate_verdicts.tsv
B	Mapping Contract Agent	Only mapping-contract-starter.csv (11 rows); mapping_contract.csv and approval record missing; G2 FAIL	Approved mapping_contract.csv zero blocker rows; human sign-off	OD-01 blocks 141758 models; OD-04/05 stock contracts open; OD-06 publication open; media/IPL rows blocked; meta.* workflow vs documented sync (OD-17)	P0	G0;G2;G3;G4	Batch A approved; Target Shopware schema; 15 unowned open decisions	BLOCKED	discoveries/matrices/mapping-contract-starter.csv;open_decisions.tsv;local-migration-dry-run-summary.json;dry-run-groups.csv
B	Target Schema Contract Agent	custom_field_diff.csv and plugin_health_report.md absent; 0/4 G3 artifacts; no Shopware access	Prove every mapping target path writable on Shopware; plugin health for IPL	4 G3 artifacts missing; OD-11 parity unsigned; IPL plugin unsmoked; cannot validate paths without G2 mapping	P0	G0;G2;G3;G5	Batch A Target Shopware; H-01 H-02; OD-11	BLOCKED	discoveries/gate_verdicts.tsv;target_system_blockers.md;verification-gates.csv;secrets_readiness.md
B	Media/IPL Contract Agent	media_ipl_contract.csv and cdn_resolution_report.csv missing; dry-run 0 loadable media and IPL	Assets to Shopware media and IPL custom entity contract with CDN resolution	0 loadable media and IPL groups; assets.bson missing; 355939 ipl fields without assets; 4622287 empty photos; CDN base unknown; OD-02 OD-03 open	P0	G0;G1;G3;G4	H-04 assets; G3 plugin smoke; OD-02 OD-03	BLOCKED	discoveries/matrices/local-migration-dry-run-summary.json;source_profile.json;mapping-contract-starter.csv;dry-run-groups.csv
C	Normalization Harness Agent	No normalized_payloads/ or payload_hash_ledger.sqlite; G4 PASS is summary-only	Deterministic payloads and per-row hashes for all in-scope rows	323782 blocked parts; 141758 blocked models; 0 media/IPL loadable; G2 G3 FAIL; 439K deleted and 26K unapproved semantics unfrozen; no determinism proof	P0	G2;G3;G4	Batch B G2 G3 VERIFIED; OD-04 OD-05 OD-06 frozen	BLOCKED	discoveries/matrices/local-migration-dry-run-summary.json;dry-run-groups.csv;gate_verdicts.tsv;mapping-contract-starter.csv
C	Data Quality Queue Agent	quality-issue-counts.csv aggregates only (7 types); no samples or row ledger	Every non-loadable row classified; zero UNKNOWN	2735879 missing qty_on_hand unclassified at row level; 590649 missing stock ref; 438998 deleted and 26574 unapproved without terminal status; no quality_issue_samples.csv; dry-run blocked totals not reconciled to ledger	P0	G2;G4	Batch B source_quality_issues.sqlite; mapping contract; normalization terminal statuses	BLOCKED	discoveries/quality-issue-counts.csv;local-migration-dry-run-summary.json;source_profile.json;open_decisions.tsv
C	Batch Manifest Agent	No batch_manifest.csv or batch_order.md; quota_limits TBD	Dependency-ordered batches with payload hashes	Sync API batch sizing unknown for 4.4M products; no hash ledger; 141758 models BLOCKED_PENDING_OD-01; media/IPL batches impossible	P1	G3;G5	Normalization payloads; DQ classification; Shopware sync smoke (B-13)	BLOCKED	discoveries/dry-run-groups.csv;quota_limits.md;local-migration-dry-run-summary.json;target_system_blockers.md
C	Independent Verification Agent	G4 PASS from artifact presence only; dry_run_reconciliation.json absent	Evidence-backed G4 VERIFIED with reconciliation JSON	G4 superficial PASS vs verification-gates true condition; no dry_run_reconciliation.json; no two-run hash test; G2 G3 upstream FAIL	P0	G0;G2;G3;G4	All Batch C peer deliverables; Batch B approved	BLOCKED	discoveries/gate_verdicts.tsv;verification-gates.csv;local-migration-dry-run-summary.json;agent/scripts/verify-gates.mjs
D	Manufacturer/Brand Loader Agent	No brand_load_ledger.sqlite; brands only as product array fields	Load deduplicated manufacturer scaffold idempotently	Batch C not verified; G0 G2 G3 G5 FAIL; OAuth absent; OD-10 brand de-dupe unfrozen; sync limits unknown	P0	G0;G2;G3;G5;Batch C	Batch C VERIFIED; G2 G3; brand de-dupe policy	BLOCKED	discoveries/matrices/agent-workstream-matrix.csv;gate_verdicts.tsv;mapping-contract-starter.csv;source_profile.json
D	Category/Model Loader Agent	No category_model_load_ledger.sqlite; 141758 of 382743 models blocked in dry-run	Load ~241K loadable models with hierarchy and mock semantics	OD-01 unresolved (141K blocked); category tree volume and indexing unverified; publication gating open; brand load absent	P0	G0;G2;G3;G5;Batch C	Brand load verified; OD-01; G3 category smoke	BLOCKED	discoveries/dry-run-groups.csv;local-migration-dry-run-summary.json;open_decisions.tsv;quota_limits.md
D	Product Loader Agent	No product_load_ledger.sqlite; 4435658 loadable parts in dry-run	Load 4.4M+ parts with idempotent keys and custom fields	4.4M scale with unknown sync limits; 323782 blocked; 439K deleted and 26K unapproved unfrozen; 973K empty stock; G3 unproven; category/model IDs absent	P0	G0;G2;G3;G5;Batch C	Category/model load; G2 G3; batch manifest with hashes	BLOCKED	discoveries/dry-run-groups.csv;quality-issue-counts.csv;local-migration-dry-run-summary.json;quota_limits.md
D	Inventory Loader Agent	No inventory_load_ledger.sqlite; 3623149 loadable inventory rows	Load stock price availability on product IDs	2.74M missing qty_on_hand policy open; 973K empty stock; 3670 price parse failures; requires product_load_ledger.sqlite	P0	G0;G2;G3;G5;Batch C	Product load verified; OD-04 OD-05 OD-08	BLOCKED	discoveries/dry-run-groups.csv;quality-issue-counts.csv;mapping-contract-starter.csv;source_profile.json
D	Media/IPL Loader Agent	No media or IPL ledgers; 0 loadable in both dry-run groups	Load media and IPL custom entity with CDN contract	0 loadable media and IPL; assets.bson missing; 355939 ipl without assets; IPL plugin unsmoked; CDN unknown; mock/invisible policy open (OD-02)	P0	G0;G1;G2;G3;G4;G5	H-04; Media/IPL contract; product and model IDs; G3 plugin	BLOCKED	discoveries/dry-run-groups.csv;source_profile.json;source_snapshot_manifest.json;open_decisions.tsv
D	Independent Reconciliation Agent	No dev_reconciliation_report.json; G5 0/2	Per-loader target read-back vs payload hashes	No loaders completed; no hash baseline; Shopware read access absent; 4.4M scale reconciliation strategy undefined	P0	G0;G3;G5;Batch C	Each loader ledger; dry_run_reconciliation.json; G0 OAuth	BLOCKED	discoveries/matrices/verification-gates.csv;gate_verdicts.tsv;dry-run-groups.csv;agent-batch-launch-plan.md
E	Staging Load Agent	No staging_load_ledger.sqlite; G6 FAIL	Repeat dev-proven load on staging	G5 not VERIFIED; staging env empty; G0 G2 G3 FAIL; sync limits unknown; media/IPL 0 loadable; OD-16 sample boundary	P0	G0;G2;G3;G5;G6	Dev reconciliation VERIFIED; staging credentials; G3 on staging	BLOCKED	discoveries/gate_verdicts.tsv;verification-gates.csv;environment_matrix.csv;agentic-migration-execution-strategy.md
E	Staging Verification Agent	No staging_reconciliation_report.json	Staging read-back vs dev expectations	No staging load; no dev baseline; OD-11 drift risk; Store API IPL samples never run	P0	G0;G2;G3;G5;G6	Staging load complete; dev_target_reconciliation.json	BLOCKED	discoveries/gate_verdicts.tsv;verification-gates.csv;open_decisions.tsv;target_system_blockers.md
E	Prod Load Agent	No prod_load_ledger.sqlite; G7 FAIL; OD-15 deferred	Prod baseline after human cutover approval	Staging G6 not VERIFIED; cutover_decision_record.md absent; prod env empty; full upstream chain blocked; OD-16 false confidence risk	P0	G0;G2;G3;G5;G6;G7	Staging G6 VERIFIED; OD-15 human approval; prod OAuth	BLOCKED	discoveries/gate_verdicts.tsv;open_decisions.tsv;blockers_master.md;environment_matrix.csv
E	Prod Verification Agent	No prod_reconciliation or cutover record	Prod reconciliation and human cutover sign-off	Prod load blocked; OD-15 deferred; G7 artifacts missing; storefront/IPL validation never performed on any env	P0	G0;G2;G3;G5;G6;G7	Prod load; cutover_decision_record.md; OD-15	BLOCKED	discoveries/gate_verdicts.tsv;verification-gates.csv;open_decisions.tsv;agentic-migration-execution-strategy.md
F	Event Contract Agent	No sync_event_contract.json; G8 0/2; OD-14 open	Compact ID-only sync event contract with idempotency keys and DynamoDB ledger design	G8 FAIL; EventBridge bus ARNs unknown; DocumentDB change streams not enabled; full-record events rejected by design; 16MB event limit; infra ARNs missing (H-10)	P0	G8	Mapping/normalization approved; AWS infra discovery; DocumentDB admin	P1	G0;G2;G8	Batch B mapping contract; baseline G5-G7 proven; AWS IAM (H-10)	RISK	discoveries/agentic-migration-execution-strategy.md;target_system_blockers.md;open_decisions.tsv;gate_verdicts.tsv;blockers_master.md
F	Sync Processor Agent	No sync_processor_ledger or duplicate_event_test.json	Idempotent ongoing sync from compact events	Change stream retention 3h default; at-least-once duplicates; Lambda ARNs unknown; mock dependency must match loaders; $facet unsupported on DocumentDB 5.0; no DynamoDB ledger table	P0	G8	Event contract approved; DynamoDB table; Lambda deploy; DocumentDB change streams enabled	BLOCKED	discoveries/target_system_blockers.md;agentic-migration-execution-strategy.md;gate_verdicts.tsv
F	DLQ/Replay Agent	No dlq_replay_runbook or replay_test.json	Replayable failed events by source key	No event contract; no ledger; no Lambda consumer verified; replay path undefined	P0	G8	Event contract; Sync processor; DynamoDB FAILED state handling	BLOCKED	discoveries/target_system_blockers.md;agentic-migration-execution-strategy.md;verification-gates.csv
F	Daily Reconciliation Agent	No daily_reconciliation_report.json	Detect drift between source truth and target state	Source/target live access deferred; baseline loaders not run; cannot explain drift without DQ ledger and event ledger; G8 FAIL	P0	G0;G8	Source and target access; sync_processor_ledger; baseline reconciliation (G5-G7)	BLOCKED	discoveries/target_system_blockers.md;gate_verdicts.tsv;blockers_master.md
