issue_id	category	discovered_week_estimate	actual_delay_months	root_cause	evidence	would_matrix_role	preventable	fix_recommendation
IM-001	scope	2	3	Confluence assumed separate brand/model/IPL collections; source is single products collection	source_profile.json collections_present; schemas/README.md	B Source Profile Agent	Y	Profile BSON before architecture sign-off; freeze source contract gate G1
IM-002	data	3	2	assets.bson missing from sample and export deferral not approved	source_snapshot_manifest.json; dry-run media/IPL loadable=0	B Media/IPL Contract Agent	Y	H-04 full assets export or signed deferral before media/IPL design
IM-003	data	4	3	355939 products have ipl field but no assets join path	source_profile.json workflow_flags.ipl_field_present	D Media/IPL Loader Agent	Y	Block IPL loader until assets contract verified
IM-004	architecture	2	4	OD-01 unresolved: model as category vs custom entity blocks 141758 models	open_decisions.tsv OD-01; dry-run models blocked_count=141758	B Mapping Contract Agent	Y	Human domain decision week 2; mapping_contract.csv zero blockers
IM-005	scope	1	2	3-month plan excluded ongoing sync infra discovery; Batch F scoped late	agent-workstream-matrix.csv Batch F; G8 FAIL	F Event Contract Agent	Y	Phase 7 paper design week 1; defer implementation until G5-G7
IM-006	vendor	6	2	Shopware OAuth never provisioned; environment_matrix.csv empty	environment_matrix.csv; secrets_readiness.md	A Access/Infra Agent	Y	H-01/H-02 week 1 provisioning checklist
IM-007	vendor	6	3	G3 0/4: no shopware_schema_snapshot.json or api_smoke_results.json	gate_verdicts.tsv G3 FAIL	A Target Shopware Agent	Y	Target schema smoke before payload generation
IM-008	vendor	7	2	IPL plugin PartsTreeIplPlugin never externally smoke-tested	target_system_blockers.md TB-07	B Target Schema Contract Agent	Y	Plugin health report in Batch A
IM-009	data	3	2	Workflow flags under meta.* not documented sync/review/approved/deleted paths	source_profile.json intent_alignment_notes; OD-17	B Mapping Contract Agent	Y	Map meta.* explicitly in mapping_contract.csv
IM-010	data	4	2	438979 products meta.deleted=true without publication policy OD-06	source_profile.json; mapping-contract-starter.csv row publication	B Mapping Contract Agent	Y	Freeze Shopware active/visibility semantics before normalization
IM-011	data	4	1	26545 unapproved products lack load/skip policy	source_profile.json workflow_flags	B Mapping Contract Agent	Y	Terminal status for unapproved in DQ queue
